image_path,ripeness_class,estimated_day,ttl_days_left
train/Class B/374.png,Class B,7,21
train/Class B/360.png,Class B,8,20
train/Class B/406.png,Class B,13,15
train/Class B/533 (2).png,Class B,8,20
train/Class B/8009 (2).png,Class B,10,18
train/Class B/88.png,Class B,11,17
train/Class B/7057 (2).png,Class B,10,18
train/Class B/7130.png,Class B,8,20
train/Class B/8203.png,Class B,9,19
train/Class B/8103 (2).png,Class B,9,19
train/Class B/228.png,Class B,13,15
train/Class B/566.png,Class B,13,15
train/Class B/551 (2).png,Class B,11,17
train/Class B/439 (2).png,Class B,8,20
train/Class B/214.png,Class B,14,14
train/Class B/8029.png,Class B,12,16
train/Class B/8001.png,Class B,10,18
train/Class B/8000.png,Class B,9,19
train/Class B/598.png,Class B,7,21
train/Class B/8028.png,Class B,14,14
train/Class B/215.png,Class B,8,20
train/Class B/573.png,Class B,13,15
train/Class B/7131.png,Class B,12,16
train/Class B/7125.png,Class B,10,18
train/Class B/359 (2).png,Class B,13,15
train/Class B/349 (2).png,Class B,10,18
train/Class B/7051.png,Class B,8,20
train/Class B/62.png,Class B,11,17
train/Class B/76.png,Class B,9,19
train/Class B/7092.png,Class B,9,19
train/Class B/8185 (2).png,Class B,14,14
train/Class B/8148.png,Class B,7,21
train/Class B/361.png,Class B,7,21
train/Class B/407.png,Class B,10,18
train/Class B/7100 (2).png,Class B,11,17
train/Class B/439.png,Class B,8,20
train/Class B/405.png,Class B,10,18
train/Class B/388.png,Class B,13,15
train/Class B/8162.png,Class B,14,14
train/Class B/48 (2).png,Class B,7,21
train/Class B/275 (2).png,Class B,9,19
train/Class B/149.png,Class B,12,16
train/Class B/60.png,Class B,10,18
train/Class B/74.png,Class B,14,14
train/Class B/48.png,Class B,7,21
train/Class B/7053.png,Class B,7,21
train/Class B/93 (2).png,Class B,7,21
train/Class B/968.png,Class B,10,18
train/Class B/8178 (2).png,Class B,9,19
train/Class B/8000 (2).png,Class B,14,14
train/Class B/7127.png,Class B,8,20
train/Class B/571.png,Class B,12,16
train/Class B/217.png,Class B,11,17
train/Class B/8003.png,Class B,7,21
train/Class B/564.png,Class B,9,19
train/Class B/216.png,Class B,9,19
train/Class B/7126.png,Class B,7,21
train/Class B/195 (2).png,Class B,9,19
train/Class B/49.png,Class B,7,21
train/Class B/7052.png,Class B,7,21
train/Class B/75.png,Class B,14,14
train/Class B/148.png,Class B,13,15
train/Class B/8163.png,Class B,13,15
train/Class B/389.png,Class B,13,15
train/Class B/8147 (2).png,Class B,13,15
train/Class B/376.png,Class B,11,17
train/Class B/404.png,Class B,7,21
train/Class B/414.png,Class B,13,15
train/Class B/372.png,Class B,9,19
train/Class B/264 (2).png,Class B,13,15
train/Class B/8167.png,Class B,11,17
train/Class B/399.png,Class B,10,18
train/Class B/7081.png,Class B,10,18
train/Class B/7095.png,Class B,14,14
train/Class B/170.png,Class B,10,18
train/Class B/616.png,Class B,9,19
train/Class B/59.png,Class B,10,18
train/Class B/7042.png,Class B,13,15
train/Class B/7056.png,Class B,9,19
train/Class B/71.png,Class B,10,18
train/Class B/206.png,Class B,7,21
train/Class B/548.png,Class B,12,16
train/Class B/170 (2).png,Class B,11,17
train/Class B/8007.png,Class B,10,18
train/Class B/453 (2).png,Class B,11,17
train/Class B/7 (2).png,Class B,12,16
train/Class B/66 (2).png,Class B,7,21
train/Class B/7060 (2).png,Class B,14,14
train/Class B/561.png,Class B,8,20
train/Class B/207.png,Class B,8,20
train/Class B/575.png,Class B,8,20
train/Class B/8204.png,Class B,14,14
train/Class B/64.png,Class B,14,14
train/Class B/7057.png,Class B,12,16
train/Class B/58.png,Class B,9,19
train/Class B/7094.png,Class B,9,19
train/Class B/165.png,Class B,10,18
train/Class B/7080.png,Class B,8,20
train/Class B/398.png,Class B,13,15
train/Class B/8097 (2).png,Class B,7,21
train/Class B/280 (2).png,Class B,7,21
train/Class B/373.png,Class B,11,17
train/Class B/371.png,Class B,13,15
train/Class B/359.png,Class B,7,21
train/Class B/8164.png,Class B,8,20
train/Class B/7096.png,Class B,9,19
train/Class B/167.png,Class B,12,16
train/Class B/99.png,Class B,7,21
train/Class B/169 (2).png,Class B,10,18
train/Class B/7055.png,Class B,7,21
train/Class B/7041.png,Class B,13,15
train/Class B/522 (2).png,Class B,7,21
train/Class B/72.png,Class B,13,15
train/Class B/66.png,Class B,11,17
train/Class B/8112 (2).png,Class B,12,16
train/Class B/563.png,Class B,13,15
train/Class B/211.png,Class B,9,19
train/Class B/239.png,Class B,10,18
train/Class B/50 (2).png,Class B,8,20
train/Class B/491 (2).png,Class B,10,18
train/Class B/588.png,Class B,13,15
train/Class B/358 (2).png,Class B,10,18
train/Class B/465 (2).png,Class B,14,14
train/Class B/238.png,Class B,7,21
train/Class B/7134.png,Class B,8,20
train/Class B/67.png,Class B,8,20
train/Class B/73.png,Class B,13,15
train/Class B/7040.png,Class B,9,19
train/Class B/166.png,Class B,8,20
train/Class B/7097.png,Class B,10,18
train/Class B/8165.png,Class B,10,18
train/Class B/358.png,Class B,10,18
train/Class B/370.png,Class B,10,18
train/Class B/459.png,Class B,14,14
train/Class B/317.png,Class B,9,19
train/Class B/465.png,Class B,14,14
train/Class B/8116.png,Class B,12,16
train/Class B/80 (2).png,Class B,8,20
train/Class B/129.png,Class B,8,20
train/Class B/115.png,Class B,7,21
train/Class B/101.png,Class B,7,21
train/Class B/667.png,Class B,13,15
train/Class B/276 (2).png,Class B,8,20
train/Class B/7147.png,Class B,9,19
train/Class B/263.png,Class B,12,16
train/Class B/277.png,Class B,9,19
train/Class B/8076.png,Class B,9,19
train/Class B/8062.png,Class B,12,16
train/Class B/276.png,Class B,12,16
train/Class B/353 (2).png,Class B,9,19
train/Class B/7032.png,Class B,8,20
train/Class B/186 (2).png,Class B,7,21
train/Class B/398 (2).png,Class B,10,18
train/Class B/114.png,Class B,14,14
train/Class B/8103.png,Class B,7,21
train/Class B/464.png,Class B,12,16
train/Class B/328.png,Class B,11,17
train/Class B/300.png,Class B,14,14
train/Class B/119 (2).png,Class B,11,17
train/Class B/314.png,Class B,12,16
train/Class B/8068 (2).png,Class B,9,19
train/Class B/8129.png,Class B,12,16
train/Class B/317 (2).png,Class B,7,21
train/Class B/102.png,Class B,12,16
train/Class B/52 (2).png,Class B,11,17
train/Class B/17.png,Class B,14,14
train/Class B/248.png,Class B,11,17
train/Class B/512.png,Class B,13,15
train/Class B/8162 (2).png,Class B,10,18
train/Class B/8049.png,Class B,7,21
train/Class B/8048.png,Class B,11,17
train/Class B/275.png,Class B,8,20
train/Class B/7145.png,Class B,11,17
train/Class B/8047 (2).png,Class B,13,15
train/Class B/16.png,Class B,7,21
train/Class B/117.png,Class B,12,16
train/Class B/103.png,Class B,8,20
train/Class B/8114.png,Class B,8,20
train/Class B/7161 (2).png,Class B,11,17
train/Class B/315.png,Class B,14,14
train/Class B/301.png,Class B,11,17
train/Class B/7009 (2).png,Class B,11,17
train/Class B/7171 (2).png,Class B,7,21
train/Class B/482 (2).png,Class B,14,14
train/Class B/492 (2).png,Class B,10,18
train/Class B/43 (2).png,Class B,11,17
train/Class B/477.png,Class B,12,16
train/Class B/8104.png,Class B,11,17
train/Class B/8138.png,Class B,12,16
train/Class B/113.png,Class B,10,18
train/Class B/7021.png,Class B,10,18
train/Class B/7035.png,Class B,12,16
train/Class B/459 (2).png,Class B,8,20
train/Class B/449 (2).png,Class B,10,18
train/Class B/531 (2).png,Class B,11,17
train/Class B/7141.png,Class B,11,17
train/Class B/265.png,Class B,9,19
train/Class B/8064.png,Class B,10,18
train/Class B/8070.png,Class B,12,16
train/Class B/21 (2).png,Class B,11,17
train/Class B/8065.png,Class B,12,16
train/Class B/137 (2).png,Class B,9,19
train/Class B/264.png,Class B,8,20
train/Class B/516.png,Class B,10,18
train/Class B/390 (2).png,Class B,12,16
train/Class B/13.png,Class B,12,16
train/Class B/8139.png,Class B,13,15
train/Class B/8105.png,Class B,11,17
train/Class B/233 (2).png,Class B,10,18
train/Class B/466 (2).png,Class B,7,21
train/Class B/310.png,Class B,11,17
train/Class B/476.png,Class B,9,19
train/Class B/462.png,Class B,9,19
train/Class B/474.png,Class B,12,16
train/Class B/306.png,Class B,7,21
train/Class B/448.png,Class B,9,19
train/Class B/104.png,Class B,9,19
train/Class B/7036.png,Class B,8,20
train/Class B/39.png,Class B,7,21
train/Class B/7156.png,Class B,8,20
train/Class B/266.png,Class B,11,17
train/Class B/101 (2).png,Class B,9,19
train/Class B/277 (2).png,Class B,7,21
train/Class B/267 (2).png,Class B,13,15
train/Class B/8066.png,Class B,8,20
train/Class B/8099.png,Class B,11,17
train/Class B/515.png,Class B,9,19
train/Class B/267.png,Class B,10,18
train/Class B/7157.png,Class B,11,17
train/Class B/7143.png,Class B,13,15
train/Class B/7037.png,Class B,9,19
train/Class B/139.png,Class B,7,21
train/Class B/105.png,Class B,12,16
train/Class B/449.png,Class B,12,16
train/Class B/461.png,Class B,13,15
train/Class B/475.png,Class B,14,14
train/Class B/336.png,Class B,13,15
train/Class B/296 (2).png,Class B,11,17
train/Class B/8123.png,Class B,9,19
train/Class B/357 (2).png,Class B,14,14
train/Class B/134.png,Class B,7,21
train/Class B/21.png,Class B,8,20
train/Class B/335 (2).png,Class B,13,15
train/Class B/518.png,Class B,14,14
train/Class B/8080.png,Class B,9,19
train/Class B/8043.png,Class B,12,16
train/Class B/166 (2).png,Class B,12,16
train/Class B/7092 (2).png,Class B,8,20
train/Class B/8081.png,Class B,11,17
train/Class B/519.png,Class B,9,19
train/Class B/94 (2).png,Class B,14,14
train/Class B/7173.png,Class B,7,21
train/Class B/7143 (2).png,Class B,9,19
train/Class B/34.png,Class B,7,21
train/Class B/427 (2).png,Class B,9,19
train/Class B/492.png,Class B,10,18
train/Class B/309.png,Class B,12,16
train/Class B/447.png,Class B,11,17
train/Class B/453.png,Class B,7,21
train/Class B/335.png,Class B,10,18
train/Class B/484.png,Class B,14,14
train/Class B/490.png,Class B,11,17
train/Class B/385 (2).png,Class B,9,19
train/Class B/137.png,Class B,11,17
train/Class B/22.png,Class B,10,18
train/Class B/7039.png,Class B,8,20
train/Class B/36.png,Class B,9,19
train/Class B/7005.png,Class B,14,14
train/Class B/8088 (2).png,Class B,7,21
train/Class B/7159.png,Class B,9,19
train/Class B/7171.png,Class B,12,16
train/Class B/8021 (2).png,Class B,10,18
train/Class B/255.png,Class B,9,19
train/Class B/533.png,Class B,12,16
